month_start,year,complaint_count
2023-01,2023,93933
2023-02,2023,86540
2023-03,2023,36257
2023-04,2023,65371
2023-05,2023,106211
2023-06,2023,104427
2023-07,2023,106774
2023-08,2023,119715
2023-09,2023,112888
2023-10,2023,117424
2023-11,2023,113366
2023-12,2023,123067
2024-01,2024,143369
2024-02,2024,157616
2024-03,2024,177815
2024-04,2024,191121
2024-05,2024,211970
2024-06,2024,204177
2024-07,2024,232655
2024-08,2024,263815
2024-09,2024,264822
2024-10,2024,295880
2024-11,2024,287086
2024-12,2024,303982
2025-01,2025,475787
2025-02,2025,335241
2025-03,2025,396977
2025-04,2025,406112
2025-05,2025,415215
2025-06,2025,412186
2025-07,2025,473230
2025-08,2025,495598
2025-09,2025,503863
2025-10,2025,519813
2025-11,2025,496709
2025-12,2025,512699
