product,complaint_count,share_pct
Credit reporting or other personal consumer reports,7578201,80.93
"Credit reporting, credit repair services, or other personal consumer reports",557760,5.96
Debt collection,501472,5.36
Credit card,187872,2.01
Checking or savings account,182955,1.95
"Money transfer, virtual currency, or money service",114042,1.22
Mortgage,67098,0.72
Student loan,46136,0.49
Vehicle loan or lease,45880,0.49
Credit card or prepaid card,31134,0.33
"Payday loan, title loan, personal loan, or advance loan",24748,0.26
Prepaid card,15091,0.16
Debt or credit management,7177,0.08
"Payday loan, title loan, or personal loan",4145,0.04
