state,complaint_count
FL,1340357
TX,1291762
CA,896823
GA,722496
NY,554984
IL,415921
PA,373667
NC,322927
NJ,306464
MD,233303
AL,218527
LA,210953
MI,210545
SC,201144
OH,194675
VA,185629
AZ,149439
MS,143184
TN,141191
NV,128435
MA,115671
IN,115411
MO,103559
WA,69095
CT,65949
WI,62880
AR,58624
CO,57068
MN,45877
DE,43368
OK,39836
PR,38299
KY,38292
DC,31748
OR,24754
UT,24222
KS,21162
RI,20815
IA,18110
Unknown,17866
NE,16830
NM,16076
HI,14024
WV,10982
ID,8803
NH,8775
ME,5457
ND,5356
AK,4647
MT,3932
SD,3070
VI,2702
WY,2591
VT,2218
AE,1379
AP,642
UNITED STATES MINOR OUTLYING ISLANDS,574
GU,271
AS,205
AA,93
MP,44
PW,7
FM,1
